"('O', 'C', 1)","('N', 'H', 1)","('N', 'C', 1)","('N', 'C', 1.5)","('C', 'H', 1)","('C', 'C', 1)","('C', 'C', 1.5)"
3,1,6,10,22,7,8
0,3,4,0,24,11,0
5,2,2,0,16,3,6
0,2,5,0,20,8,3
3,3,1,0,8,2,6
1,3,7,0,19,6,9
4,3,5,0,29,11,0
2,2,7,0,27,9,12
4,0,3,0,21,6,0
0,2,2,0,17,7,6
1,2,7,0,24,15,6
0,1,3,0,15,7,3
0,1,6,0,26,11,0
0,2,4,0,13,3,6
0,2,5,0,29,12,3
2,2,2,4,16,4,2
4,2,4,2,23,9,4
0,1,6,0,30,11,3
5,1,3,0,20,13,6
1,3,5,0,22,6,0
0,3,7,0,25,7,12
0,1,3,2,24,14,1
0,2,8,0,28,8,9
0,3,4,0,23,9,6
1,1,6,0,21,6,0
6,2,5,0,25,10,18
1,1,1,0,12,6,6
1,2,8,1,24,7,8
0,2,9,0,28,9,6
0,1,6,2,20,5,4
0,1,5,2,22,8,4
2,1,5,0,19,4,12
0,3,1,0,21,15,0
0,1,3,0,16,4,6
0,3,1,0,21,11,0
0,2,8,0,26,12,0
2,1,5,0,27,20,3
5,0,0,0,23,12,0
1,3,5,0,28,11,0
5,1,3,0,16,4,10
2,3,4,0,15,6,6
4,2,2,2,17,4,1
2,2,5,0,25,7,6
3,1,3,0,30,14,0
0,3,7,0,29,11,6
3,1,5,0,24,9,6
1,3,1,0,18,9,6
5,1,5,0,18,8,0
5,1,3,0,17,7,12
0,3,11,0,27,15,0
0,2,8,0,29,12,9
0,3,4,2,17,7,1
2,1,5,0,13,5,6
2,3,5,0,25,7,6
1,2,2,0,19,8,0
0,4,10,0,24,9,6
0,3,10,0,25,6,6
0,2,4,4,17,5,2
2,3,4,2,21,8,1
0,1,3,4,21,10,5
0,3,7,0,24,11,0
2,2,2,0,22,6,6
0,3,8,0,20,10,6
6,3,4,0,18,4,6
1,2,3,2,24,11,8
0,2,2,0,16,4,3
0,1,6,0,27,10,6
2,2,8,0,40,18,0
0,2,7,6,25,11,6
1,3,7,0,21,8,6
4,2,5,2,24,6,7
6,3,3,0,26,9,6
0,2,8,0,28,10,6
0,3,7,0,27,13,6
0,3,7,0,21,11,0
2,0,6,2,21,8,7
2,3,3,0,20,10,6
1,5,5,0,10,7,0
4,0,0,2,21,11,7
4,1,3,0,24,12,6
0,3,7,0,26,10,6
1,3,5,2,19,6,4
0,4,6,1,13,6,2
0,3,1,2,14,5,6
0,3,9,0,31,13,0
0,2,2,2,14,3,7
5,1,2,0,15,7,0
0,2,3,0,20,9,6
0,3,5,0,35,16,0
2,1,3,4,21,11,0
4,4,3,0,17,6,6
1,1,6,0,25,10,3
2,2,2,0,24,11,6
0,3,5,0,33,17,6
1,1,6,2,16,8,4
0,2,9,0,29,8,0
2,2,8,0,20,11,6
3,2,6,2,27,9,8
4,3,7,0,29,8,6
1,2,5,0,20,9,0
4,1,5,0,19,7,12
0,2,5,2,17,2,9
0,4,9,2,10,3,4
0,4,5,4,26,8,12
0,1,3,2,14,4,8
0,3,8,2,24,7,10
2,1,3,2,22,9,15
0,4,12,0,26,9,0
2,3,1,0,27,14,0
0,3,5,0,37,17,0
0,3,10,0,22,9,3
2,2,12,0,38,13,0
2,2,4,2,23,16,4
0,2,2,0,9,4,6
0,0,3,0,20,6,6
2,3,4,0,11,2,0
0,0,0,0,9,5,6
0,3,4,0,18,6,3
0,3,8,0,24,10,6
1,1,3,0,16,5,0
1,1,3,0,22,7,0
0,2,11,4,33,11,2
3,1,6,0,30,10,6
4,0,3,0,23,8,6
3,1,1,0,13,7,6
2,2,8,0,32,11,6
0,4,4,0,28,14,0
2,3,7,0,23,7,0
0,3,5,4,17,7,0
0,4,7,0,29,11,6
5,0,0,0,25,12,6
0,3,11,0,29,9,0
0,2,5,0,18,6,6
0,0,3,0,27,16,6
0,6,9,0,13,3,6
0,2,8,0,22,6,0
2,2,2,2,17,5,1
1,2,2,0,23,10,0
2,2,2,0,24,11,0
0,4,6,0,18,6,0
2,1,3,0,19,5,0
4,2,5,0,25,7,6
0,3,5,2,24,9,8
0,0,6,0,26,14,0
2,3,1,0,6,3,6
4,1,4,0,12,3,6
3,3,5,0,23,12,6
0,1,9,0,23,13,0
1,1,2,0,15,7,0
4,3,8,0,17,10,12
2,2,6,0,26,10,6
0,2,6,4,24,12,6
0,3,5,0,19,10,0
2,1,3,5,20,5,10
1,1,4,0,16,15,0
3,3,9,0,19,7,6
0,2,2,2,21,6,4
0,0,3,4,17,5,7
0,1,5,0,27,12,0
0,0,5,2,19,8,3
2,3,10,0,28,12,0
0,3,5,0,27,10,0
2,2,5,0,33,14,6
0,2,5,0,31,15,0
0,3,7,0,24,9,6
3,1,6,0,25,6,6
0,0,9,4,24,5,2
4,1,3,0,24,12,0
0,2,11,0,26,8,6
0,3,4,0,23,7,6
2,2,3,4,13,4,7
0,3,8,0,29,15,0
2,3,5,0,25,8,6
1,2,2,2,17,6,4
0,2,8,0,26,7,6
1,3,1,0,20,11,0
0,4,5,0,14,5,6
0,2,5,0,21,7,9
0,3,4,0,21,11,6
4,1,3,3,23,9,6
0,2,5,0,23,20,0
0,4,10,0,23,11,0
0,2,8,0,28,13,0
0,2,5,2,20,5,4
0,2,8,0,26,11,0
1,2,2,2,24,11,4
2,2,2,0,24,11,6
1,2,5,0,26,12,3
4,0,6,4,22,10,2
1,2,6,0,23,12,12
3,2,2,0,15,4,6
0,1,9,0,31,11,6
2,2,2,2,15,4,9
0,2,8,0,22,8,0
4,3,4,0,18,5,12
0,2,6,0,24,12,0
0,2,7,0,26,9,6
0,1,9,0,35,16,0
2,3,5,0,26,11,6
0,2,5,0,23,11,0
1,0,6,0,25,12,6
0,4,4,0,22,8,6
2,0,0,0,13,6,6
2,2,5,0,25,9,6
5,2,5,0,24,7,6
1,3,1,0,20,10,6
2,3,2,0,5,3,6
2,4,7,4,19,2,8
1,2,2,0,19,6,12
1,1,6,0,27,12,6
0,1,3,0,21,9,6
1,4,7,0,16,6,3
0,3,5,0,13,3,9
0,2,5,0,29,14,0
2,1,6,0,26,7,9
2,4,3,2,24,9,4
2,3,7,0,23,6,6
3,2,6,2,25,5,19
0,0,6,4,26,16,2
1,0,0,0,17,10,6
0,2,5,2,18,9,1
1,1,3,0,26,13,3
0,1,5,0,22,5,18
2,0,3,2,24,8,4
2,2,5,3,19,7,0
0,1,8,0,29,9,0
0,3,4,2,21,7,7
2,1,7,0,25,9,12
0,2,4,0,27,9,6
3,2,5,0,26,8,12
0,2,5,2,28,11,1
0,2,7,2,19,4,4
0,3,4,0,15,3,12
0,1,6,0,28,11,0
2,2,4,0,20,8,6
0,2,4,0,22,11,12
1,1,3,2,15,5,4
0,3,10,0,32,11,12
2,2,5,0,20,6,12
2,3,7,0,21,11,0
2,4,1,6,17,6,4
0,3,4,0,24,11,0
0,4,4,0,22,10,6
0,2,6,2,21,10,1
0,0,0,5,28,12,6
0,3,8,0,27,12,0
0,1,6,0,19,10,6
0,1,9,0,19,5,12
